"game_id","player_id","pos","player","team","pass_cmp","pass_att","pass_yds","pass_td","pass_int","pass_sacked","pass_sacked_yds","pass_long","pass_rating","rush_att","rush_yds","rush_td","rush_long","targets","rec","rec_yds","rec_td","rec_long","fumbles_lost","rush_scrambles","designed_rush_att","comb_pass_rush_play","comb_pass_play","comb_rush_play","Team_abbrev","Opponent_abbrev","two_point_conv","total_ret_td","offensive_fumble_recovery_td","pass_yds_bonus","rush_yds_bonus","rec_yds_bonus","Total_DKP","Off_DKP","Total_FDP","Off_FDP","Total_SDP","Off_SDP","pass_target_yds","pass_poor_throws","pass_blitzed","pass_hurried","rush_yds_before_contact","rush_yac","rush_broken_tackles","rec_air_yds","rec_yac","rec_drops","offense","off_pct","vis_team","home_team","vis_score","home_score","OT","Roof","Surface","Temperature","Humidity","Wind_Speed","Vegas_Line","Vegas_Favorite","Over_Under","game_date"
"202209110atl","MariMa01","QB","Marcus Mariota","ATL",20,33,215,0,0,0,0,31,79.7,12,72,1,16,0,0,0,0,0,1,4,8,45,37,8,"ATL","NOR",0,0,0,0,0,0,20.8,20.8,19.8,19.8,19.8,19.8,282,8,3,2,66,6,0,0,0,0,75,100,"NOR","ATL",27,26,"False","retractable roof (closed)","fieldturf",72,45,0,-5.5,"NOR",43.5,2022-09-11
"202209110atl","PattCo00","RB","Cordarrelle Patterson","ATL",0,0,0,0,0,0,0,0,0,22,120,1,15,5,3,16,0,10,0,0,22,22,0,22,"ATL","NOR",0,0,0,0,1,0,25.6,25.6,21.1,21.1,23.1,23.1,0,0,0,0,75,45,0,18,10,0,49,65,"NOR","ATL",27,26,"False","retractable roof (closed)","fieldturf",72,45,0,-5.5,"NOR",43.5,2022-09-11
"202209110atl","WillAv02","RB","Avery Williams","ATL",0,0,0,0,0,0,0,0,0,2,7,0,5,1,1,8,0,8,0,0,2,2,0,2,"ATL","NOR",0,0,0,0,0,0,2.5,2.5,2,2,2,2,0,0,0,0,7,0,0,-7,15,0,23,31,"NOR","ATL",27,26,"False","retractable roof (closed)","fieldturf",72,45,0,-5.5,"NOR",43.5,2022-09-11
"202209110atl","WillDa05","RB","Damien Williams","ATL",0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,2,2,0,2,"ATL","NOR",0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,2,0,0,0,0,10,13,"NOR","ATL",27,26,"False","retractable roof (closed)","fieldturf",72,45,0,-5.5,"NOR",43.5,2022-09-11
"202209110atl","LondDr00","WR","Drake London","ATL",0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,74,0,31,0,0,0,0,0,0,"ATL","NOR",0,0,0,0,0,0,12.4,12.4,9.9,9.9,9.9,9.9,0,0,0,0,0,0,0,88.2,18,0,54,72,"NOR","ATL",27,26,"False","retractable roof (closed)","fieldturf",72,45,0,-5.5,"NOR",43.5,2022-09-11
"202209110atl","ZaccOl01","WR","Olamide Zaccheaus","ATL",0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,49,0,22,1,0,0,0,0,0,"ATL","NOR",0,0,0,0,0,0,7.9,7.9,4.9,4.9,4.9,4.9,0,0,0,0,0,0,0,39.2,10,0,45,60,"NOR","ATL",27,26,"False","retractable roof (closed)","fieldturf",72,45,0,-5.5,"NOR",43.5,2022-09-11
"202209110atl","HodgKh00","WR","KhaDarel Hodge","ATL",0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,38,0,18,0,0,0,0,0,0,"ATL","NOR",0,0,0,0,0,0,6.8,6.8,5.3,5.3,5.3,5.3,0,0,0,0,0,0,0,24.9,13,0,20,27,"NOR","ATL",27,26,"False","retractable roof (closed)","fieldturf",72,45,0,-5.5,"NOR",43.5,2022-09-11
"202209110atl","PittKy00","TE","Kyle Pitts","ATL",0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,19,0,11,0,0,0,0,0,0,"ATL","NOR",0,0,0,0,0,0,3.9,3.9,2.9,2.9,2.9,2.9,0,0,0,0,0,0,0,93.1,6,1,63,84,"NOR","ATL",27,26,"False","retractable roof (closed)","fieldturf",72,45,0,-5.5,"NOR",43.5,2022-09-11
"202209110atl","LandJa00","WR","Jarvis Landry","NOR",0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,114,0,40,0,0,0,0,0,0,"NOR","ATL",0,0,0,0,0,1,21.4,21.4,14.9,14.9,16.9,16.9,0,0,0,0,0,0,0,123.3,15,0,44,72,"NOR","ATL",27,26,"False","retractable roof (closed)","fieldturf",72,45,0,-5.5,"NOR",43.5,2022-09-11
"202209110atl","ThomMi05","WR","Michael Thomas","NOR",0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,57,2,21,0,0,0,0,0,0,"NOR","ATL",0,0,0,0,0,0,22.7,22.7,20.2,20.2,20.2,20.2,0,0,0,0,0,0,0,88,5,1,37,61,"NOR","ATL",27,26,"False","retractable roof (closed)","fieldturf",72,45,0,-5.5,"NOR",43.5,2022-09-11
"202209110atl","JohnJu02","TE","Juwan Johnson","NOR",0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,43,0,26,0,0,0,0,0,0,"NOR","ATL",0,0,0,0,0,0,6.3,6.3,5.3,5.3,5.3,5.3,0,0,0,0,0,0,0,56,10,0,45,74,"NOR","ATL",27,26,"False","retractable roof (closed)","fieldturf",72,45,0,-5.5,"NOR",43.5,2022-09-11
