"game_id","Off_abbrev","Def_abbrev","fga","fgm","xpa","xpm","fga_0_39","fgm_0_39","fga_40_49","fgm_40_49","fga_50","fgm_50","player","Total_DKP","Total_FDP","Total_SDP","vis_team","home_team","vis_score","home_score","OT","Roof","Surface","Temperature","Humidity","Wind_Speed","Vegas_Line","Vegas_Favorite","Over_Under","game_date"
"202209250chi","HOU","CHI",2,2,2,2,2,2,0,0,0,0,"Ka'imi Fairbairn",8,8,8,"HOU","CHI",20,23,"False","outdoors","grass ",72,45,0,-3,"CHI",39,2022-09-25
"202209250clt","IND","KAN",2,2,2,2,0,0,1,1,1,1,"Chase McLaughlin",11,11,11,"KAN","IND",17,20,"False","retractable roof (open)","fieldturf ",72,45,0,-5.5,"KAN",51,2022-09-25
"202209250clt","KAN","IND",2,1,1,0,0,0,0,0,0,0,"Matt Ammendola",0,0,0,"KAN","IND",17,20,"False","retractable roof (open)","fieldturf ",72,45,0,-5.5,"KAN",51,2022-09-25
"202209250crd","ARI","LAR",4,4,0,0,0,0,0,0,0,0,"Matt Prater",0,0,0,"LAR","ARI",20,12,"False","retractable roof (closed)","grass ",72,45,0,-3.5,"LAR",48.5,2022-09-25
"202209250crd","LAR","ARI",2,2,2,2,0,0,0,0,0,0,"Matt Gay",2,2,2,"LAR","ARI",20,12,"False","retractable roof (closed)","grass ",72,45,0,-3.5,"LAR",48.5,2022-09-25
"202209250den","DEN","SFO",2,1,0,0,0,0,0,0,2,1,"Brandon McManus",5,5,5,"SFO","DEN",10,11,"False","outdoors","grass ",72,45,0,-1.5,"SFO",44.5,2022-09-25
"202209250den","SFO","DEN",1,1,1,1,0,0,0,0,1,1,"Robbie Gould",6,6,6,"SFO","DEN",10,11,"False","outdoors","grass ",72,45,0,-1.5,"SFO",44.5,2022-09-25
"202209250mia","BUF","MIA",2,1,2,2,2,1,0,0,0,0,"Tyler Bass",5,5,5,"BUF","MIA",19,21,"False","outdoors","grass ",72,45,0,-4.5,"BUF",53,2022-09-25
"202209250mia","0","0",0,0,3,3,0,0,0,0,0,0,"Jason Sanders",3,3,3,"BUF","MIA",19,21,"False","outdoors","grass ",72,45,0,-4.5,"BUF",53,2022-09-25
"202209250min","DET","MIN",3,1,3,3,0,0,2,1,1,0,"Austin Seibert",7,7,7,"DET","MIN",24,28,"False","dome","sportturf",72,45,0,-6,"MIN",52.5,2022-09-25
